match_id,round,date,home_team,home_id,away_team,away_id,home_score,away_score,venue,city,referee,result,home_xg,away_xg,home_possession,away_possession,home_shots,away_shots,home_shots_on_target,away_shots_on_target,home_big_chances,away_big_chances,home_big_chances_missed,away_big_chances_missed,home_corners,away_corners,home_passes,away_passes,home_accurate_passes,away_accurate_passes,home_fouls,away_fouls,home_tackles,away_tackles,home_interceptions,away_interceptions,home_recoveries,away_recoveries,home_touches_in_box,away_touches_in_box,home_final_third_entries,away_final_third_entries,home_yellow_cards,away_yellow_cards,home_gk_saves,away_gk_saves,home_goals_prevented,away_goals_prevented
13981792,6,2025-08-23,Górnik Zabrze,3110,GKS Katowice,3112,3,0,Stadion im. Ernesta Pohla,Zabrze,Szymon Marciniak,H,2.12,0.9,51,49,18,10,6,1,3.0,1.0,2.0,1.0,2,4,450,430,392,358,9,11,13,9,6,9,46,39,37,11,53,32,0.0,1.0,1,4,0.1135,-0.7651
13981793,6,2025-08-23,MKS Korona Kielce,5065,Motor Lublin,7915,2,0,Stadion Miejski w Niepolomicach,Niepolomice,Damian Sylwestrzak,H,1.36,1.38,32,68,17,13,8,2,4.0,1.0,3.0,1.0,5,6,255,520,195,458,15,14,14,18,12,6,43,40,22,36,38,59,4.0,5.0,2,5,0.3797,-0.152
13981795,6,2025-08-24,Piast Gliwice,7918,Cracovia,4901,0,0,Stadion Miejski w Gliwicach,Gliwice,Wojciech Myc,D,0.62,0.8,60,40,15,8,1,2,0.0,2.0,0.0,2.0,4,2,547,360,477,293,20,17,6,14,5,14,37,34,22,9,68,54,1.0,0.0,1,1,0.1771,0.0484
13981796,6,2025-08-22,Widzew Łódź,3115,Pogoń Szczecin,3117,1,2,Stadion Widzewa Łódź,Lodz,Lukasz Kuzma,A,1.08,0.33,54,46,13,8,4,4,2.0,2.0,1.0,1.0,2,0,433,364,341,277,5,16,13,21,12,12,49,49,19,12,59,50,1.0,4.0,2,3,-1.4928,0.5486
13981797,6,2025-08-22,Radomiak Radom,7295,Bruk-Bet Termalica Nieciecza,36851,1,1,Stadion im. Braci Czachorów,Radom,Damian Kos,D,1.7,1.21,63,37,17,13,4,2,2.0,3.0,1.0,2.0,2,5,471,281,401,208,12,11,22,11,3,3,36,41,20,19,44,45,1.0,2.0,1,3,0.1174,-0.1119
14570884,6,2025-09-24,Raków Częstochowa,35268,Lech Poznań,3121,2,2,Miejski Stadion Piłkarski Raków w Częstochowie,Czestochowa,Szymon Marciniak,D,2.74,0.73,64,36,18,10,7,3,6.0,1.0,4.0,1.0,6,2,545,315,488,235,10,15,12,22,3,7,42,34,37,15,46,45,3.0,1.0,1,5,-1.3723,0.8541
14682952,6,2025-09-24,Legia Warszawa,3106,Jagiellonia Białystok,7691,0,0,Stadion Wojska Polskiego w Warszawie,Warsaw,Damian Sylwestrzak,D,1.93,0.14,51,49,20,3,8,1,5.0,0.0,5.0,0.0,2,2,432,413,339,326,20,15,19,19,11,9,46,55,24,7,60,32,1.0,3.0,1,8,0.0139,1.2794
13981798,7,2025-08-30,Bruk-Bet Termalica Nieciecza,36851,MKS Korona Kielce,5065,1,3,Stadion Bruk-Bet,Nieciecza,Wojciech Myc,A,0.66,2.7,46,54,9,24,6,9,1.0,4.0,1.0,3.0,3,1,368,433,286,359,13,12,16,14,5,2,41,51,16,42,60,58,0.0,2.0,6,4,-0.1055,0.5433
13981799,7,2025-08-30,Górnik Zabrze,3110,Motor Lublin,7915,0,1,Stadion im. Ernesta Pohla,Zabrze,Damian Kos,A,0.98,1.02,58,42,18,10,3,3,1.0,2.0,1.0,1.0,10,5,487,357,435,293,9,14,15,15,8,9,53,51,29,25,71,38,4.0,4.0,2,3,0.151,0.8073
13981800,7,2025-08-29,MZKS Arka Gdynia,5064,Wisła Płock,3122,1,0,Stadion GOSiR,Gdynia,Pawel Malec,H,0.46,1.38,51,49,8,18,2,4,0.0,2.0,0.0,2.0,0,5,433,403,350,321,12,10,16,14,13,6,34,34,11,26,54,35,1.0,2.0,2,1,0.1108,-0.1867
13981801,7,2025-08-31,Pogoń Szczecin,3117,Raków Częstochowa,35268,2,0,Stadion Miejski im. Floriana Krygiera,Szczecin,Bartosz Frankowski,H,0.83,0.87,45,55,6,17,3,3,3.0,1.0,2.0,1.0,1,14,338,402,256,329,16,10,14,10,10,5,49,41,14,30,40,47,4.0,3.0,3,1,0.2307,-0.7663
13981802,7,2025-08-31,Cracovia,4901,Legia Warszawa,3106,2,1,Marshal Jozef Pilsudski Stadium,Kraków,Piotr Lasyk,H,0.2,1.48,56,44,2,13,2,5,1.0,2.0,0.0,1.0,2,5,472,359,388,275,13,18,11,15,8,4,35,38,7,24,51,54,4.0,2.0,4,1,0.3244,-1.5287
13981803,7,2025-08-29,GKS Katowice,3112,Radomiak Radom,7295,3,2,Arena Katowice,Katowice,Tomasz Kwiatkowski,H,2.32,0.43,47,53,18,9,8,4,4.0,0.0,3.0,0.0,8,4,257,299,196,225,16,21,14,7,2,3,32,27,27,22,55,45,3.0,6.0,2,4,-0.7725,0.0199
13981805,7,2025-08-31,Jagiellonia Białystok,7691,KS Lechia Gdańsk,7913,2,0,Chorten Arena,Bialystok,Piotr Rzucidlo,H,0.86,1.21,52,48,12,15,4,4,1.0,1.0,0.0,1.0,1,5,394,362,320,278,13,20,8,15,7,14,40,50,20,21,44,44,4.0,4.0,4,2,1.4955,-0.3337
13981807,7,2025-08-30,Zagłębie Lubin,3113,Piast Gliwice,7918,2,2,KGHM Zagłębie Arena,Lubin,Sebastian Krasny,D,2.98,0.81,30,70,11,16,2,5,5.0,1.0,3.0,0.0,3,5,255,594,188,509,15,9,15,17,11,7,44,46,18,22,40,60,3.0,3.0,3,0,-1.3249,-0.2129
13981809,7,2025-08-31,Lech Poznań,3121,Widzew Łódź,3115,2,1,Enea Poznań,Poznan,Patryk Gryckiewicz,H,1.6,1.36,51,49,13,15,5,3,3.0,3.0,1.0,2.0,5,7,418,389,344,318,11,8,12,11,12,7,42,49,14,25,57,47,4.0,0.0,2,3,-0.0904,-0.133
13981806,8,2025-09-12,KS Lechia Gdańsk,7913,GKS Katowice,3112,2,0,Polsat Plus Arena Gdańsk,Gdansk,Pawel Malec,H,2.08,0.54,42,58,13,11,3,3,5.0,0.0,3.0,0.0,2,5,346,468,263,387,8,10,18,6,10,6,54,43,14,29,54,55,3.0,1.0,3,1,0.4705,-0.1014
13981808,8,2025-09-14,Legia Warszawa,3106,Radomiak Radom,7295,4,1,Stadion Wojska Polskiego w Warszawie,Warsaw,Szymon Marciniak,H,2.54,1.07,55,45,13,13,6,5,2.0,2.0,0.0,1.0,5,5,443,356,375,291,17,15,12,13,13,8,45,40,26,15,72,35,1.0,2.0,4,2,-0.271,-1.6375
13981810,8,2025-09-14,Motor Lublin,7915,Bruk-Bet Termalica Nieciecza,36851,1,1,Arena Lublin,Lublin,Lukasz Kuzma,D,1.25,2.01,51,49,14,10,2,6,1.0,5.0,0.0,4.0,5,4,402,388,330,327,16,13,13,14,7,11,41,43,31,22,33,52,2.0,4.0,5,1,1.312,-0.2187
13981811,8,2025-09-12,Lech Poznań,3121,Zagłębie Lubin,3113,1,2,Enea Poznań,Poznan,Damian Kos,A,1.8,0.64,64,36,26,10,6,4,3.0,0.0,3.0,0.0,7,6,503,275,411,204,11,9,3,12,6,13,47,42,37,17,92,36,3.0,3.0,2,5,-0.1149,0.5484
13981814,8,2025-09-13,Piast Gliwice,7918,Jagiellonia Białystok,7691,1,1,Stadion Miejski w Gliwicach,Gliwice,Paweł Raczkowski,D,0.84,1.04,53,47,14,11,4,6,1.0,1.0,1.0,1.0,4,1,511,462,446,384,11,13,11,11,6,8,53,48,24,27,47,48,7.0,4.0,5,3,-0.4637,0.1736
13981816,8,2025-09-13,MKS Korona Kielce,5065,Pogoń Szczecin,3117,1,0,Exbud Arena,Kielce,Piotr Lasyk,H,3.15,1.88,45,55,18,21,6,10,5.0,4.0,4.0,4.0,12,7,285,376,220,295,9,11,8,13,4,6,48,45,33,29,46,57,1.0,1.0,9,5,1.3755,1.4327
13981818,8,2025-09-14,Widzew Łódź,3115,MZKS Arka Gdynia,5064,2,0,Stadion Widzewa Łódź,Lodz,Damian Sylwestrzak,H,2.39,0.97,49,51,14,13,8,5,5.0,1.0,4.0,1.0,1,2,377,392,316,324,4,16,15,21,4,5,41,38,21,25,49,43,0.0,1.0,5,4,0.3132,-0.1988
14457539,8,2025-09-15,Raków Częstochowa,35268,Górnik Zabrze,3110,0,1,Miejski Stadion Piłkarski Raków w Częstochowie,Czestochowa,Bartosz Frankowski,A,0.96,1.61,67,33,9,16,1,7,2.0,3.0,2.0,2.0,3,6,614,295,530,213,7,16,18,19,5,5,47,45,22,24,43,49,1.0,6.0,6,1,0.4122,0.3691
15161024,8,2025-12-04,Wisła Płock,3122,Cracovia,4901,0,0,Stadion im. Kazimierza Gorskiego,Plock,Jaroslaw Przybyl,D,0.34,0.48,44,56,8,7,4,1,,,,,3,2,371,482,300,408,8,16,12,12,4,13,33,37,19,7,53,59,2.0,2.0,1,4,0.0416,0.2922
13981813,9,2025-09-20,Bruk-Bet Termalica Nieciecza,36851,Lech Poznań,3121,0,2,Stadion Bruk-Bet,Nieciecza,Tomasz Kwiatkowski,A,0.84,1.74,54,46,13,18,2,9,0.0,2.0,,,3,10,490,412,415,347,7,7,19,10,9,5,47,47,19,26,56,46,1.0,1.0,7,2,0.2825,0.116
13981815,9,2025-09-21,Zagłębie Lubin,3113,Motor Lublin,7915,2,2,KGHM Zagłębie Arena,Lubin,Lukasz Karski,D,1.95,1.05,45,55,12,16,5,6,3.0,2.0,1.0,1.0,6,5,283,369,218,321,14,15,26,10,7,5,35,34,23,19,52,50,3.0,4.0,4,3,-0.0816,0.3308
